time,QA:1,force:1,pA:1,pos:1,u:1
0.8,0,17574.97611,6176275.888,0.021312647,0
0.80093215,0,17753.20682,6242677.269,0.02130281,0
0.802796449,0,18068.01193,6361244.442,0.021285244,0
0.804660748,0,18298.59064,6450748.124,0.021271984,0
0.80743461,0,18481.16091,6528037.568,0.021260533,0
0.811011519,0,18431.4133,6527325.659,0.021260639,0
0.814588428,0,18067.93877,6414733.061,0.021277319,0
0.818165337,0,17411.09374,6195992.575,0.021309726,0
0.821742246,0,16493.40181,5881480.703,0.021356321,0
0.825319155,0,15357.71915,5485705.268,0.021414956,0
0.828896064,0,14055.15564,5026628.662,0.021482968,0
0.832472973,0,12642.86107,4524859.584,0.021557306,0
0.836049882,0,11181.75387,4002748.268,0.021634658,0
0.839626791,0,9734.238992,3483421.273,0.021711597,0
0.8432037,0,8361.939153,2989792.194,0.021784729,0
0.846780609,0,7123.452686,2543584.549,0.021850836,0
0.850357518,0,6072.153453,2164402.678,0.021907013,0
0.853934427,0,5254.063051,1868885.814,0.021950794,0
0.857511336,0,4705.849805,1669979.212,0.021980262,0
0.861088245,0,4453.037805,1576354.135,0.021994133,0
0.864665154,0,4508.536041,1592004.973,0.021991814,0
0.868242063,0,4871.61558,1716046.59,0.021973437,0
0.871818972,0,5527.464948,1942727.772,0.021939854,0
0.875395881,0,6447.435948,2261667.443,0.021892602,0
0.87897279,0,7590.052216,2658309.396,0.021833839,0
0.882549699,0,8902.793513,3114579.283,0.021766242,0
0.886126608,0,10324.59665,3609715.472,0.021692886,0
0.889703517,0,11788.93914,4121234.179,0.021617104,0
0.893280426,0,13227.30615,4625980.262,0.021542325,0
0.896857335,0,14572.79594,5101209.108,0.02147192,0
0.900434244,0,15763.60206,5525642.96,0.021409039,0
0.904011153,0,16746.12514,5880446.963,0.021356475,0
0.907588062,0,17477.51021,6150076.042,0.021316529,0
0.911164971,0,17927.46998,6322952.668,0.021290917,0
0.91474188,0,18079.32912,6391946.71,0.021280695,0
0.918318789,0,17930.29748,6354640.746,0.021286222,0
0.921895698,0,17491.04147,6213376.244,0.02130715,0
0.925472607,0,16784.66516,5975087.066,0.021342453,0
0.929049516,0,15845.23361,5650936.039,0.021390477,0
0.932626425,0,14715.97149,5255777.611,0.02144902,0
0.936203334,0,13447.25478,4807474.867,0.021515436,0
0.939780243,0,12094.48834,4326102.552,0.021586752,0
0.943357152,0,10715.9343,3833069.71,0.021659796,0
0.946934061,0,9370.531512,3350196.46,0.021731335,0
0.95051097,0,8115.729748,2898779.676,0.021798213,0
0.954087879,0,7005.356553,2498682.146,0.021857488,0
0.957664788,0,6087.540473,2167479.308,0.021906557,0
0.961241697,0,5402.730479,1919696.67,0.021943266,0
0.964818606,0,4981.87426,1766169.463,0.021966012,0
0.968395515,0,4844.842756,1713553.361,0.021973807,0
0.971972424,0,4999.208796,1764011.153,0.021966331,0
0.975549333,0,5439.497801,1915094.458,0.021943948,0
0.979126242,0,6147.022858,2159832.048,0.021907689,0
0.982703151,0,7090.391991,2487027.065,0.021859215,0
0.98628006,0,8226.732001,2881754.787,0.021800735,0
0.989856969,0,9503.614489,3326041.362,0.021734913,0
0.993433878,0,10861.60288,3799692.932,0.021664741,0
0.997010787,0,12237.27402,4281234.896,0.0215934,0
1,0,13352.08549,4673269.936,0.021535319,0
1,0,13352.08549,4673269.936,0.021535319,0
1,0,13352.08549,4673269.936,0.021535319,0
1.000871018,0,13663.7227,4783312.063,0.021519016,0
1.002613055,0,14271.72037,4998446.911,0.021487144,0
1.004355091,0,14846.15966,5202561.291,0.021456904,0
1.007325574,0,15729.42699,5518587.457,0.021410084,0
1.011303021,0,16683.59386,5864780.21,0.021358795,0
1.015280469,0,17333.54703,6107154.599,0.021322887,0
1.019257916,0,17646.98445,6233015.548,0.021304241,0
1.023235363,0,17611.27606,6236226.817,0.021303765,0
1.02721281,0,17233.37997,6117460.775,0.02132136,0
1.031190257,0,16538.62937,5884066.713,0.021355938,0
1.035167705,0,15568.62249,5549580.47,0.021405492,0
1.039145152,0,14378.46686,5132915.777,0.021467221,0
1.043122599,0,13033.60831,4657290.554,0.021537686,0
1.047100046,0,11606.42911,4148949.764,0.021612998,0
1.05,0,10559.8266,3774511.63,0.021668471,0
1.05,0,10559.8266,3774511.63,0.021668471,0
1.05,0,10559.8266,3774511.63,0.021668471,0
